Art/Deco Europe associatedWithRegion
Vassily/Kandinsky Lyonel/Feininger associatedWith
Lyonel/Feininger Paul/Klee associatedWith
Paul/Klee Lyonel/Feininger associatedWith
Lyonel/Feininger Lucia/Moholy-Nagy associatedWith
Lucia/Moholy-Nagy Lyonel/Feininger associatedWith
Lyonel/Feininger Herbert/Bayer associatedWith
Herbert/Bayer Lyonel/Feininger associatedWith
Lyonel/Feininger Marcel/Breuer associatedWith
Marcel/Breuer Lyonel/Feininger associatedWith
Lyonel/Feininger Wilhelm/Wagenfeld associatedWith
Wilhelm/Wagenfeld Lyonel/Feininger associatedWith
Lyonel/Feininger Josef/Albers associatedWith
Josef/Albers Lyonel/Feininger associatedWith
Lyonel/Feininger Oskar/Schlemmer associatedWith
Oskar/Schlemmer Lyonel/Feininger associatedWith
Lyonel/Feininger Marianne/Brandt associatedWith
Marianne/Brandt Lyonel/Feininger associatedWith
Lyonel/Feininger Gunta/Stölzl associatedWith
Gunta/Stölzl Lyonel/Feininger associatedWith
Vassily/Kandinsky Paul/Klee associatedWith
Paul/Klee Vassily/Kandinsky associatedWith
Vassily/Kandinsky Lucia/Moholy-Nagy associatedWith
Lucia/Moholy-Nagy Vassily/Kandinsky associatedWith
Vassily/Kandinsky Herbert/Bayer associatedWith
Herbert/Bayer Vassily/Kandinsky associatedWith
Vassily/Kandinsky Marcel/Breuer associatedWith
Marcel/Breuer Vassily/Kandinsky associatedWith
Vassily/Kandinsky Wilhelm/Wagenfeld associatedWith
Wilhelm/Wagenfeld Vassily/Kandinsky associatedWith
Vassily/Kandinsky Josef/Albers associatedWith
Josef/Albers Vassily/Kandinsky associatedWith
Vassily/Kandinsky Oskar/Schlemmer associatedWith
Oskar/Schlemmer Vassily/Kandinsky associatedWith
Vassily/Kandinsky Marianne/Brandt associatedWith
Marianne/Brandt Vassily/Kandinsky associatedWith
Vassily/Kandinsky Gunta/Stölzl associatedWith
Gunta/Stölzl Vassily/Kandinsky associatedWith
Paul/Klee Lucia/Moholy-Nagy associatedWith
Lucia/Moholy-Nagy Paul/Klee associatedWith
Paul/Klee Herbert/Bayer associatedWith
Herbert/Bayer Paul/Klee associatedWith
Paul/Klee Marcel/Breuer associatedWith
Marcel/Breuer Paul/Klee associatedWith
Paul/Klee Wilhelm/Wagenfeld associatedWith
Wilhelm/Wagenfeld Paul/Klee associatedWith
Paul/Klee Josef/Albers associatedWith
Josef/Albers Paul/Klee associatedWith
Paul/Klee Oskar/Schlemmer associatedWith
Oskar/Schlemmer Paul/Klee associatedWith
Paul/Klee Marianne/Brandt associatedWith
Marianne/Brandt Paul/Klee associatedWith
Paul/Klee Gunta/Stölzl associatedWith
Gunta/Stölzl Paul/Klee associatedWith
Lucia/Moholy-Nagy Herbert/Bayer associatedWith
Herbert/Bayer Lucia/Moholy-Nagy associatedWith
Lucia/Moholy-Nagy Marcel/Breuer associatedWith
Marcel/Breuer Lucia/Moholy-Nagy associatedWith
Lucia/Moholy-Nagy Wilhelm/Wagenfeld associatedWith
Wilhelm/Wagenfeld Lucia/Moholy-Nagy associatedWith
Lucia/Moholy-Nagy Josef/Albers associatedWith
Josef/Albers Lucia/Moholy-Nagy associatedWith
Lucia/Moholy-Nagy Oskar/Schlemmer associatedWith
Oskar/Schlemmer Lucia/Moholy-Nagy associatedWith
Lucia/Moholy-Nagy Marianne/Brandt associatedWith
Marianne/Brandt Lucia/Moholy-Nagy associatedWith
Lucia/Moholy-Nagy Gunta/Stölzl associatedWith
Gunta/Stölzl Lucia/Moholy-Nagy associatedWith
Herbert/Bayer Marcel/Breuer associatedWith
Marcel/Breuer Herbert/Bayer associatedWith
Herbert/Bayer Wilhelm/Wagenfeld associatedWith
Wilhelm/Wagenfeld Herbert/Bayer associatedWith
Herbert/Bayer Josef/Albers associatedWith
Josef/Albers Herbert/Bayer associatedWith
Herbert/Bayer Oskar/Schlemmer associatedWith
Oskar/Schlemmer Herbert/Bayer associatedWith
Herbert/Bayer Marianne/Brandt associatedWith
Marianne/Brandt Herbert/Bayer associatedWith
Herbert/Bayer Gunta/Stölzl associatedWith
Gunta/Stölzl Herbert/Bayer associatedWith
Marcel/Breuer Wilhelm/Wagenfeld associatedWith
Wilhelm/Wagenfeld Marcel/Breuer associatedWith
Marcel/Breuer Josef/Albers associatedWith
Josef/Albers Marcel/Breuer associatedWith
Marcel/Breuer Oskar/Schlemmer associatedWith
Oskar/Schlemmer Marcel/Breuer associatedWith
Marcel/Breuer Marianne/Brandt associatedWith
Marianne/Brandt Marcel/Breuer associatedWith
Marcel/Breuer Gunta/Stölzl associatedWith
Gunta/Stölzl Marcel/Breuer associatedWith
Wilhelm/Wagenfeld Josef/Albers associatedWith
Josef/Albers Wilhelm/Wagenfeld associatedWith
Wilhelm/Wagenfeld Oskar/Schlemmer associatedWith
Oskar/Schlemmer Wilhelm/Wagenfeld associatedWith
Wilhelm/Wagenfeld Marianne/Brandt associatedWith
Marianne/Brandt Wilhelm/Wagenfeld associatedWith
Wilhelm/Wagenfeld Gunta/Stölzl associatedWith
Gunta/Stölzl Wilhelm/Wagenfeld associatedWith
Josef/Albers Oskar/Schlemmer associatedWith
Oskar/Schlemmer Josef/Albers associatedWith
Josef/Albers Marianne/Brandt associatedWith
Marianne/Brandt Josef/Albers associatedWith
Josef/Albers Gunta/Stölzl associatedWith
Gunta/Stölzl Josef/Albers associatedWith
Oskar/Schlemmer Marianne/Brandt associatedWith
Marianne/Brandt Oskar/Schlemmer associatedWith
Oskar/Schlemmer Gunta/Stölzl associatedWith
Gunta/Stölzl Oskar/Schlemmer associatedWith
Marianne/Brandt Gunta/Stölzl associatedWith
Gunta/Stölzl Marianne/Brandt associatedWith
Bauhaus Bauhausbücher creatorOf
Bauhausbücher Bauhaus createdBy
Bauhaus Weimar associatedWith
Weimar Bauhaus associatedWith
Haus/am/Horn Georg/Muche createdBy
Georg/Muche Haus/am/Horn creatorOf
Weimar/Bauhaus Germany locatedIn
Germany Weimar/Bauhaus locationOf
Bauhaus non-German associatedWith
non-German Bauhaus associatedWith
Bauhaus Lászlo/Mohol-Nagy associatedWith
Lászlo/Mohol-Nagy Bauhaus associatedWith
Bauhaus Johannes/Itten associatedWith
Johannes/Itten Bauhaus associatedWith
Lászlo/Mohol-Nagy Hungarian hasNationality
Lászlo/Mohol-Nagy Johannes/Itten associatedWith
Johannes/Itten Lászlo/Mohol-Nagy associatedWith
Theo/van/Doesburg Dutch hasNationality
Theo/van/Doesburg Dutch/De/Stijl founderOf
Dutch/De/Stijl Theo/van/Doesburg foundedBy
Theo/van/Doesburg Bauhaus influenced
Dutch/De/Stijl Bauhaus associatedWith
Bauhaus Dutch/De/Stijl associatedWith
Louis/Sullivan Bauhaus associatedWith
Bauhaus Louis/Sullivan associatedWith
Hannes/Meyer Swiss hasNationality
Hannes/Meyer Walter/Gropius influencedBy
Meyer Bauhaus associatedWith
Bauhaus Meyer associatedWith
Mies/van/der/Rohe Hannes/Meyer influencedBy
Hannes/Meyer Mies/van/der/Rohe associatedWith
Bauhaus National/Socialists associatedWith
National/Socialists Bauhaus associatedWith
Berlin Bauhaus locationOf
Bauhaus Berlin locatedIn
Bauhaus Expressionism influencedBy
Expressionism Bauhaus associatedWith
Lothar/Schreyer Master/of/Form hasTitle
Lothar/Schreyer Expressionist associatedWith
Expressionist Lothar/Schreyer associatedWith
Oskar/Schlemmer Schreyer influencedBy
Schreyer Oskar/Schlemmer associatedWith
Triadic/Ballet Das/Triadische/Ballett hasAlias
Das/Triadische/Ballett Triadic/Ballet hasAlias
Bauhaus Bauhaus/Dances creatorOf
Bauhaus/Dances Bauhaus createdBy
Bauhaus/Dances Die/Bauhaustänze hasAlias
Die/Bauhaustänze Bauhaus/Dances hasAlias
Schlemmer Theatre/Workshop associatedWith
Theatre/Workshop Schlemmer associatedWith
Johannes/Itten Grunow associatedWith
Grunow Johannes/Itten influencedBy
Grunow Karla/Grosch associatedWith
Karla/Grosch Grunow associatedWith
Grosch Gret/Palucca influencedBy
Gret/Palucca Grosch associatedWith
Gret/Palucca Bauhaus performedIn
Bauhaus Wassily/Kandinsky associatedWith
Wassily/Kandinsky Bauhaus associatedWith
Wassily/Kandinsky `/Dance/Curves creatorOf
`/Dance/Curves Wassily/Kandinsky createdBy
Bauhaus `/Dance/Curves associatedWith
`/Dance/Curves Bauhaus associatedWith
Wassily/Kandinsky Palucca associatedWith
Palucca Wassily/Kandinsky associatedWith
`/Dance/Curves Palucca associatedWith
Palucca `/Dance/Curves associatedWith
White/Festival Das/Weiße/Fest hasAlternativeTitle
Das/Weiße/Fest White/Festival hasAlternativeTitle
White/Festival Das/Bart-Nasen-Herzensfest associatedWith
Das/Bart-Nasen-Herzensfest White/Festival associatedWith
Das/Weiße/Fest Das/Bart-Nasen-Herzensfest associatedWith
Das/Bart-Nasen-Herzensfest Das/Weiße/Fest associatedWith
Metallic/Festival Das/Metallische/Fest hasAlternativeTitle
Das/Metallische/Fest Metallic/Festival hasAlternativeTitle
White/Festival Metallic/Festival associatedWith
Metallic/Festival White/Festival associatedWith
White/Festival Das/Metallische/Fest associatedWith
Das/Metallische/Fest White/Festival associatedWith
Das/Weiße/Fest Das/Bart-Nasen-Herzensfest associatedWith
Das/Bart-Nasen-Herzensfest Das/Weiße/Fest associatedWith
Das/Weiße/Fest Metallic/Festival associatedWith
Metallic/Festival Das/Weiße/Fest associatedWith
Das/Weiße/Fest Das/Metallische/Fest associatedWith
Das/Metallische/Fest Das/Weiße/Fest associatedWith
Das/Bart-Nasen-Herzensfest Metallic/Festival associatedWith
Metallic/Festival Das/Bart-Nasen-Herzensfest associatedWith
Das/Bart-Nasen-Herzensfest Das/Metallische/Fest associatedWith
Das/Metallische/Fest Das/Bart-Nasen-Herzensfest associatedWith
Metallic/Festival Das/Metallische/Fest associatedWith
Das/Metallische/Fest Metallic/Festival associatedWith
East/Germany Dessau/Bauhaus locationOf
Dessau/Bauhaus East/Germany locatedIn
Benjamin Jewish hasReligion
Benjamin Berlin orginatedIn
Benjamin Frankfurt/Institute/for/Social/Research associatedWith
Frankfurt/Institute/for/Social/Research Benjamin associatedWith
Benjamin Bertolt/Brecht knew
Bertolt/Brecht Benjamin knew
Theodor/W./Adorno Benjamin associatedWith
Benjamin Theodor/W./Adorno associatedWith
Benjamin Arcades/Project creatorOf
Arcades/Project Benjamin createdBy
Benjamin Das/Passagen-Werk creatorOf
Das/Passagen-Werk Benjamin createdBy
Arcades/Project Das/Passagen-Werk hasAlternativeTitle
Das/Passagen-Werk Arcades/Project hasAlternativeTitle
Arcades/Project Paris associatedWith
Paris Arcades/Project associatedWith
Das/Passagen-Werk Paris associatedWith
Paris Das/Passagen-Werk associatedWith
Aragon Le/Paysan/de/Paris creatorOf
Le/Paysan/de/Paris Aragon createdBy
Benjamin Paul/Klee influencedBy
Paul/Klee Benjamin associatedWith
Benjamin Angelus/Novus influencedBy
Angelus/Novus Benjamin associatedWith
Benjamin Angel/of/History influencedBy
Angel/of/History Benjamin associatedWith
Angelus/Novus Angel/of/History hasAlternativeTitle
Angel/of/History Angelus/Novus hasAlternativeTitle
Benjamin Europe livedIn
Benjamin New/York associatedWith
New/York Benjamin associatedWith
Benjamin Nazis associatedWith
Nazis Benjamin associatedWith
Nazis Europe locatedIn
Europe Nazis locationOf
Bernard/Shaw Irish hasNationality
Bernard/Shaw Labour/Party associatedWith
Labour/Party Bernard/Shaw associatedWith
Labour/Party England locatedIn
Bernard/Shaw England associatedWith
England Bernard/Shaw associatedWith
Bernard/Shaw Edward/Wadsworth receivedAward
Bernard/Shaw Academy/Award receivedAward
Bernard/Shaw Pygmalion creatorOf
Pygmalion Bernard/Shaw createdBy
Shaw Dublin originatedIn
Shaw London travelledTo
Shaw Hornet/\/i0 associatedWith
Hornet/\/i0 Shaw associatedWith
Shaw Fabian/Society associatedWith
Fabian/Society Shaw associatedWith
Fabian/Society British originatedIn
Shaw Quintessence/of/Ibsenism/\/i0 creatorOf
Quintessence/of/Ibsenism/\/i0 Shaw createdBy
Quintessence/of/Ibsenism/\/i0 Fabians associatedWith
Fabians Quintessence/of/Ibsenism/\/i0 associatedWith
Shaw Fabians associatedWith
Fabians Shaw associatedWith
Shaw Philanderer/\/i0 creatorOf
Philanderer/\/i0 Shaw createdBy
Shaw Candida creatorOf
Candida Shaw createdBy
Shaw Man/of/Destiny/\/i0 creatorOf
Man/of/Destiny/\/i0 Shaw createdBy
Shaw Royal/Court associatedWith
Royal/Court Shaw associatedWith
